job_title,company_name,company_location,work_method,post_date,work_time
Python Software Programmer - Work from Home,Oowlish,"Belo Horizonte, Minas Gerais, Brasil",Presencial,há 2 semanas,Tempo integral · Pleno-sênior
Statistical Programmer,Labcorp,"Sertãozinho, São Paulo, Brasil",Híbrido,há 1 semana,Tempo integral · Pleno-sênior
Cientista de Dados,A3Data,"Belo Horizonte, Minas Gerais, Brasil",Presencial,há 1 semana,Tempo integral · Pleno-sênior
Estagiário de inteligência comercial,Red Pill RH,"Belo Horizonte, Minas Gerais, Brasil",Híbrido,há 4 semanas,Tempo integral · Assistente
SDE I - Intech BR,Amazon,"São Paulo, São Paulo, Brasil",Presencial,há 1 semana,Tempo integral · Pleno-sênior
Artificial Intelligence Analyst,Tata Consultancy Services,"São Paulo, Brasil",Presencial,há 4 dias,Tempo integral · Pleno-sênior
Machine Learning Engineer Specialist,Creditas,"São Paulo, São Paulo, Brasil",Remoto,há 6 dias,Tempo integral · Pleno-sênior
Revenue Assurance Sr. Associate,WeWork,"São Paulo, São Paulo, Brasil",Remoto,há 1 semana,Tempo integral · Assistente
Data Scientist / Analytics Specialist,V.tal,"São Paulo, São Paulo, Brasil",Híbrido,há 6 dias,Tempo integral · Assistente
Analista de Dados,Mindbe,Brasil,Híbrido,há 6 dias,Tempo integral · Pleno-sênior
Data Scientist (Fraud Prevention),"CloudWalk, Inc.","São Paulo, São Paulo, Brasil",Híbrido,há 2 semanas,Tempo integral · Pleno-sênior
"Software Developer, Intech",Amazon,"São Paulo, São Paulo, Brasil",Remoto,há 6 dias,Tempo integral · Pleno-sênior
Data Engineer,Adyen,"São Paulo, São Paulo, Brasil",Híbrido,há 2 semanas,Tempo integral
Python Software Programmer - Work from Home,Oowlish,"Salvador, Bahia, Brasil",Presencial,há 1 mês,Tempo integral
Data Scientist,Chubb,"São Paulo, São Paulo, Brasil",Presencial,há 3 semanas,Tempo integral · Pleno-sênior
Analista Risco de Crédito - Cientista de Dados,Banco Fibra,"São Paulo, São Paulo, Brasil",Híbrido,há 6 dias,Tempo integral · Pleno-sênior
Business Intelligence,Truppe!,"São Paulo, São Paulo, Brasil",Híbrido,há 4 dias,Tempo integral · Pleno-sênior
TECH - DEVELOPMENT | Software Engineer (Python),BTG Pactual,São Paulo e Região,Remoto,há 3 semanas,Tempo integral · Júnior
BRA SDE I Intech,Amazon,"São Paulo, São Paulo, Brasil",Presencial,há 2 semanas,Tempo integral · Júnior
"Data Analyst (Statistics/Python/BI) (Bangkok-based, relocation provided)",Agoda,"Salvador, Bahia, Brasil",Presencial,há 2 semanas,Tempo integral · Pleno-sênior
Python Software Programmer - Work from Home,Oowlish,"Recife, Pernambuco, Brasil",Híbrido,há 3 dias,Tempo integral · Assistente
TECH - DATA | Data Analytics Specialist,BTG Pactual,"São Paulo, São Paulo, Brasil",Remoto,há 2 dias,R$ 5.000/month - R$ 5.500/month · Tempo integral · Pleno-sênior
Consultor De Dados,Delfia,"São Paulo, São Paulo, Brasil",Híbrido,há 2 semanas,Tempo integral
ANALISTA DE DADOS,VIA AROMA,"Porto Alegre, Rio Grande do Sul, Brasil",Presencial,há 2 meses,Tempo integral
Analista de Dados,OnSet Tecnologia Ltda.,"São Paulo, São Paulo, Brasil",Remoto,há 1 semana,Tempo integral · Pleno-sênior
Banco de Talentos - Cientista de Dados,Duratex,"São Paulo, São Paulo, Brasil",Remoto,há 2 horas,Estágio
Analista de Dados (Exclusiva para pessoas com deficiência - PCD),Alice,"São Paulo, Brasil",Presencial,há 5 dias,Tempo integral
"Pooling FT SDE II - Fintech, Finance Technology",Amazon,"São Paulo, São Paulo, Brasil",Remoto,há 1 semana,Tempo integral
Data Engineer - Online Job,Oowlish,"São Paulo, Brasil",Presencial,há 1 mês,Tempo integral · Pleno-sênior
Machine Learning Developer,unico IDtech,Brasil,Remoto,há 1 semana,Tempo integral · Assistente
