,job_title,company_name,company_location,work_method,role,bachelor,masters,phd,no_diploma,python,sql,nosql,java,julia,matlab,tensorflow,tableau,powerbi,qlikview,excel,cloud,work_type
732,Analista Junior,Jobcenter do Brasil Ltda.,"Barueri, São Paulo, Brasil",Remoto,Analista de Dados,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Tempo integral
733,Data Engineer,PANTHEON INC. BRASIL,"São Paulo, São Paulo, Brasil",Remoto,Engenheiro de Dados,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,Tempo integral
735,Afirmativa para Mulheres | Business Analytics,XP Inc.,Brasil,Remoto,Analista BI,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,Tempo integral
736,Remote Data Scientist Jobs,Turing.com,"Montenegro, Rio Grande do Sul, Brasil",Híbrido,Cientista de Dados,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,Tempo integral
737,Remote Data Scientist Jobs,Turing.com,Brasil,Remoto,Cientista de Dados,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Tempo integral
738,Cientista de Dados,Engesoftware,"Brasília, Distrito Federal, Brasil",Remoto,Cientista de Dados,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Contrato
739,Analista de Dados,Àgora Marketing e Pesquisa,"Araruama, Rio de Janeiro, Brasil",Remoto,Analista de Dados,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Tempo integral
740,Data Technology Consultant,Microsoft,"Rondônia, Brasil",Presencial,Cientista de Dados,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,Tempo integral
743,Analista de Auditoria JR/PL - Dados,Linx,Brasil,Híbrido,Analista de Dados,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,Tempo integral
744,Analista de Dados Pleno,Brivia,"Belo Horizonte, Minas Gerais, Brasil",Híbrido,Analista de Dados,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Contrato
745,Sr Data Science Systems Engineer (Brazil),SAS,"São Paulo, São Paulo, Brasil",Presencial,Engenheiro de Dados,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Tempo integral
746,ACCESS AND HEOR ANALYST – INNOVATIVE MEDICINE – SÃO PAULO,Novartis Brasil,"São Paulo, São Paulo, Brasil",Híbrido,Analista de Dados,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tempo integral
747,"Data Scientist - Part-Time, Bloom Institute of Technology (BloomTech) (Remote) - $30,000/year USD",Crossover for Work,"São Paulo, São Paulo, Brasil",Remoto,Cientista de Dados,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,Tempo integral
749,Data Protection Associate - Risk Management,EY,"São Paulo, São Paulo, Brasil",Presencial,Cientista de Dados,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Tempo integral
750,Analista de Dados (São Paulo ou Belo Horizonte),Golder,"Agudos, São Paulo, Brasil",Remoto,Analista de Dados,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Tempo integral
751,[Minsait - PT JPA] Analista de Dados ETL,Minsait,"João Pessoa, Paraíba, Brasil",Remoto,Analista de Dados,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Tempo integral
752,Data Engineer,Sicredi,"Porto Alegre, Rio Grande do Sul, Brasil",Remoto,Engenheiro de Dados,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,Tempo integral
753,Analista de Dados Pleno,Marketdata,"São Paulo, São Paulo, Brasil",Híbrido,Analista de Dados,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Tempo integral
754,Consultor(a) SAP BW Analytics (Remoto),IBM,"São Paulo, São Paulo, Brasil",Presencial,Analista de Dados,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tempo integral
756,"Analyst / Specialist (Bangkok Based, relocation provided)",Agoda,"Salvador, Bahia, Brasil",Remoto,Analista de Dados,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,Tempo integral
759,Remote Data Scientist Jobs,Turing.com,Brasil,Remoto,Cientista de Dados,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Tempo integral
761,PESSOA ENGENHEIRA DE DADOS PLENO,NAVA - Technology for Business,"São Paulo, São Paulo, Brasil",Híbrido,Cientista de Dados,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Tempo integral
762,Analista Júnior de Dados- Mercado Envios,Mercado Livre,"Barueri, São Paulo, Brasil",Híbrido,Analista de Dados,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Tempo integral
